idx,유저,챗봇
242,가정폭력 당하면 진짜 어떻게 해야 해요?,"일단 상담받을 수 있는 기관으로는 1366의 한국 여성의 전화와 1577-9337의 건강가정지원센터 같은 곳 있어요. 털어놓는 것뿐 아니라 원하신다면 실질적으로 어떻게 해야 하는지도 아마 조언을 주실 거예요. 가족 욕은 제 얼굴에 침 뱉기라고들 해서 털어놓기 쉽지 않지만, 그 누구도 가정 내에서 고통받고 피해받아야 할 이유 없고 그래서는 안 되는 거잖아요. 힘들 땐 트위터든 어디든 속 시원히 털어놓고 순님이 무너지지 않고 씩씩해야 뭐든 해결할 가능성이라도 생기는 거니까 너무 미안해하지 마시고 제가 뭐 도와드릴 수 있는 부분은 없지만 그래도 하루빨리 폭력에서 벗어나 마땅히 누려야 할 평화 누릴 수 있도록 기도하고 있을게요. "
243,연어  먹으러 왔어요! 맛있어요!,저도 지금 연어 먹어요!
244,홍대 노란 풍선 대란이에요.,뭐예요? 오늘 무슨 날인가 봐요.
245,매장에서 커피에 넣어 마실 우유를 부탁드렸더니 제공량에 제한이 있다고 하시던데요. 사실인가요? 사실이라면 왜 그런 제한이 있는 건가요? 미국 등 다른 나라에서도 이런 제한이 있나요? ,서비스의 세부 방침은 각 나라별로 달라 다른 나라의 제한 사항은 정확히 말씀드리기 어려워요. 그리고 상황에 따라 변화하기도 하거든요. 다만 현재를 기준으로는 제공량에 제한이 있는 것은 사실이에요.
246,매장에서 커피에 넣어 마실 우유를 부탁드렸더니 제공량에 제한이 있다고 하시던데요. 사실인가요? 사실이라면 왜 그런 제한이 있는 건가요? 미국 등 다른 나라에서도 이런 제한이 있나요? ,더불어 샘플 컵의 용량은 최대 120ml로 일반적인 우유 추가의 경우에도 사용이 충분한 양이니 언제든 직원에게 말씀해주시면 도움을 드릴 수 있도록 할게요! 고마워요!
247,고든램지 시리즈 중에 웃긴 거 엄청 많네요.,이런 거요?  
248,우와! 나도 오레노 가고 싶어요.,"저번에 요미님이랑 오고 처음 왔는데 이제 예약도 되고, 여전히 싸고 맛있는 거 같아요. 오레노 좋아요! "
249,포크 없이 어떻게 먹으라고 하는 거죠? 친구네 아파트 근처에서 한 시간 반가량 떠돌다가 얻은 핫케이크에요. 고마워요. 손으로 잘 퍼먹어볼게요.,맛있네요.
250,초밥뷔페 왔어요.,쿠우쿠우 괜찮아요?
251,초밥뷔페 왔어요.,맛있겠네요.
252,"결제할까 말까 할 때, 비행기 티켓이 없어지고 가격이 160만 원이 되었네요. 이거 어쩌죠. 진짜 미치겠네요. ",쿠키랑 캐시 지우고 해보셨어요? 
253,난 물만두가 좋아요.,저도 물만두 좋아해요! 먹기 편해요.
254,실례할게요! 전차스 관련으로 문의 드릴 게 있어서 연락 드려요. 혹시 우체국 배송 예정이시라면 우체국에서 100g 이하의 물건은 준등기로 1000원에 보낼 수 있는데 이 방법으로 배송해주실 생각은 없으신가요?  ,원하시면 준등기까지 배송에 포함시킬게요! 혹시 이미 주문하셨다면 말씀해주세요! 
255,학교 졸업하고 났더니 한인가게 갔을 때랑 가족이랑 통화할 때 빼고 한국어로 말 할 기회가 없어요.,나 한인가게 가서도 일본어 해요. 한국어 육성으로 말하는 거 한 달에 두어 번 있을까 말까 해요. 
256,올리브영 랩피토 젤 이거 진짜 완전 추천 아이템이에요. 3일 종주 산행 동안 이거 바를 때와 안 바를 때의 다음날 다리 상태가 정말 달랐어요. 뻐근하고 알배기는 근육통에 진짜 탁월했고 그 외 허리 어깨 같은 다른 부위에 발라도 너무 좋았어요. 정말 싹싹 긁어서 썼어요.  ,진짜예요. 저도 이거 쓰고 있어요. 효과 좋아요! 
257,소소한 망원 여행 중이에요.,망원 별 여행자셨군요.
258,아사쿠사에 있는 생맥주 자동판매기에요. 저 술잔 각도 조절하는 것 좀 보세요. 집에 하나 들여놓고 싶네요.,홍대 코다차야에 있어요. 보고 죽는 줄 알았어요. 
259,아사쿠사에 있는 생맥주 자동판매기에요. 저 술잔 각도 조절하는 것 좀 보세요. 집에 하나 들여놓고 싶네요.,아파트에 설치하죠.
260,"저는 오늘 너무 힘들어서 불한당 못 보고 아는 언니가 부산 서면에 인문학 서점을 오픈했는데 여기 왔다가 피자 먹고 집에 가게 돼버렸네요. 불한당 내일 볼게, 시완아 미안해요. 기다려요. 날 버리지 마세요. ",서면의 책방밭개 많이 오세요. 차를 마실 수 있는 모임 공간도 준비되어 있어요.  
261,아까 홍대에서 길 가다가 아이스크림 받았어요.,오! 뭐예요!
262,아까 홍대에서 길 가다가 아이스크림 받았어요.,오! 매그넘! 이거 완전 맛있고 완전 비싼 거예요! 
263,아까 홍대에서 길가다가 아이스크림 받았어요.,이거 와우 무법항에서도 막 뿌리던데요.
264,이거 범일동 같은데요.,범일동 금은방 가게는 미로라고 할 정도로 길지가 않아요. 전화번호가 8자리인 것 봐서는 서울일 것 같아요. 
265,티켓팅 다음 주 월요일인 거 진짜예요? ,다음 주 월요일이 2일 남은 게 실화에요? 
266,티켓팅 담주 월요일인거 진짜에요? ,다음주 월요일이 2일 남은게 실화에요? 
267,티켓팅 담주 월요일인거 진짜에요? ,다음주 월요일이 2일 남은게 실화에요? 
268,티켓팅 담주 월요일인거 진짜에요? ,다음주 월요일이 2일 남은게 실화에요? 
269,안녕하세요. 과제 방 정기 모집 시즌이 돌아왔어요. 이번 회차는 2주년 기념으로 모집 인원 수의 제한이 없어요. 감사해요.  ,주말활동만 가능해서 힘들 것 같아요. 이번엔 해 보고 싶은데요.
270,관리 좀 하세요.,돈이 없어요.
271,참기름통 깨져서 다이소로 사러 갔는데 한창 고르는 중에 누가 저기요 저기요하고 직원을 불렀어요. 근데 왠지 목소리가 내 쪽을 향해 있고 점점 짜증 내듯이 커져서 설마 날 부르는 건 아니겠지 했는데 나 부르는 거 맞더군요. 전 여기 직원이 아닌데 그러네요. ,그래서 뭐라 했어요? 
272,윤수 언니! 시간 괜찮으시면 오늘은 안 되겠지만 저는 오늘만 아니면 언제든 괜찮은데 녹음에 대한 거 여쭤봐도 돼요? 오늘은 제가 시간이 안 되지만 내일부터 언제든 가능해요.,음. 어떤 건데요? 나도 잘 모르지만 아는 거라면 알려줄게요! 
273,기호성 좋은 고양이 주식캔 추천 부탁해요. 나폴이는 대부분의 주식캔을 싫어하는데 습식사료를 좀 먹일 필요가 있는 상태여서요.,저희 집 냥이들이 먹을 수 있는 습식캔이 점점 줄어들고 있는데 여전히 아보덤 치킨은 엄청 잘 먹어요. 
274,"데이터 무제한 요금제인 줄 알았는데, 데이터 7기가랑 영화 300분짜리 요금제라 조금 시무룩하네요.",기본료 얼마죠? 
275,여러분 잘 지냈나요? How have you been?  ,오빠 어디세요? 오늘 홍대 놀러 와요. 보고 싶단 말이에요! 
276,고기 먹고 싶어요.,나도 고기가 먹고 싶어요.
277,오늘 어머님이랑 백화점 갔는데 어머님이 여름 모자 사주셨어요. 계획에 없던 쇼핑인데다 가격도 가격이라 괜찮다고 했더니 어머님이 선물하고 싶어서 선물하는 거니까 거절하지 말라고 하셔서 감사히 냉큼 받았어요. 제 모자 진짜 예쁘네요. 내일 당장 데뷔전 치러야겠어요.,인증샷 기대할게요.
278,"초밥 먹고 싶어요. 한국엔 타임세일이 있었던가요, 없었던가요?",이마트에 10시쯤 되면 시작하지 않아요? 
279,"초밥 먹고 싶어요. 한국엔 타임세일이 있었던가요, 없었던가요?",홈플러스 같은 데 고기 마감 세일 같은 거 하니까 초밥도 하지 않을까요?
280,혹시 정신과 치료 받아보신 분 있으세요? 괜찮다 싶으면 저도 좀 받아보고 싶네요. ,저요. 저는 솔직히 가격에 비해 엄청 도움 된다고 까지는 못 느꼈는데 치료받는 시간만큼은 편했던 거 같아요.
281,호야초밥 가고 싶어요. ,호야초밥 저도 진짜 좋아해요. 호야초밥 최고예요!
282,오늘 새우튀김 먹었는데 제 인생 튀김 됐어요.,튀김이 너무 예뻐요! 드레스 입은 거 같아요.
283,오늘 새우튀김 먹었는데 제 인생 튀김 됐어요.,비싼 곳에서 먹었나 봐요. 튀김이 콘치 같아요.
284,"오늘은 대전의 숨은 맛 집, 아는 사람은 알아서 가는 이곳을 찾아봤어요.",트위터 보다가 너무나 배고파졌어요. 이번 8월에 대전 갔을 때 꼭 가보고 싶네요. 
285,가져본 적도 없는데 그것보다 필요한 게 채 채워지지도 않았는데 뭘 더 비워야 하나요.,일단 덕후들은 미니멀리즘 못할 것 같아요. 어떤 장르든 굿즈를 갖고 싶은게 덕후 마음이니까요.
286,가져본 적도 없는데 그것보다 필요한 게 채 채워지지도 않았는데 뭘 더 비워야 하나요.,일단 덕후들은 미니멀리즘 못할 것 같아요. 어떤 장르든 굿즈를 갖고 싶은게 덕후 마음이니까요.
287,여러분 치킨 뭐가 맛있어요?,굽네나 교촌 어때요? 
288,여러분 치킨 뭐가 맛있어요?,전 교촌 좋아하는데 양이 너무 적어요.
289,오늘 개장한 서울 고가공원에 사람 진짜 많네요. ,다녀오셨나 봐요. 뉴스에서도 봤는데 사람이 어마어마하게 많던데요.
290,제 오랜 애정템인 코겐도 파운데이션보다 톰토드가 아주 약간 더 낫다는 소식인데요. 톰포드가 코겐도보다 피부에 달라붙는 속도가 더 빠르단 느낌이 들어요.,저 목요일에 벼르고 벼르다가 코겐도 파운데이션 주문했는데 아주 조금 톰포드가 좋다면 톰포드로 재주문 할까 봐요! 가격차이는 브랜드가 주는 충족감으로 채워지니까요.
291,제 오랜 애정템인 코겐도 파운데이션보다 톰토드가 아주 약간 더 낫다는 소식인데요. 톰포드가 코겐도보다 피부에 달라붙는 속도가 더 빠르단 느낌이 들어요.,아주 약간이라니요.
292,"아니, 우리 동네 왜 노래자랑할까요? 시끄럽네요. ",라야님 우리동네 사세요? 지금 저희 아파트는 주민 잔치한다고 노래자랑해요.
293,국밥집은 찾아 갔지만 재료가 부족해서 못 먹고 허탕치고 돌아왔어요. 남은 건 굥기형아의 얼굴과 목소리의 달콤함뿐이네요. ,안녕하세요 묭식님! 내일 대구 어머님 국밥집 가려고 하는데 혹시 언제 휴업일인지 알 수 있을까요? 아무리 찾아봐도 안 나와서 혹시 가게에 쓰여있나 해서요!
294,가고 있어요?,네. 지금 대전이에요. 기차 타고 가고 있지요. 딸내미는요? 
295,맛있는 게 뭐가 있을까요? 강남 한 번 가볼까요? 신분당선 타면 얼마 안 걸려요.,강남 갈 거면 쉑쉑버거 한 번 가보는 게 어때요? 
296,솔직히 유니클로 브라탑 별로 편하지가 않아요. 특히 운동용으로 나온 거는 브라 캡과 어깨끈 사이가 짧아요. 저만 그런가요? 그리고 핏이 안 예뻐서 실망이에요.,핏은 별로이긴 해요. 근데 뭐 가격이 저렴하니까요. 여름 한 철은 이 에어리즘으로 필라테스 하려고요.
297,다들 드림 콘서트 몇 시쯤에 가요?,전 6시에 출발할 듯해요.
298,다들 드림 콘서트 몇 시쯤에 가요?,아마 9시 도착일걸요? 
299,"아니, 말도 안 되는 게요. 동생이 안동 놀러 가서 난간에 기댔다가 난간이 불량해서 넘어져가지고 인대가 늘어나 깁스한 걸 데리고 집에 오는 길에 교통사고가 났어요. 이건 진짜 마가 꼈나 봐요. ",네? 님은 괜찮고요? 
300,디지몬 쌓기 인형 입고되었어요!,가격이 어느 정도 되는지 알 수 있을까요? 
301,학교 동기들이랑 칵테일 바 왔어요!  ,와! 칵테일 너무 이뻐요! 
302,야구장 세 번 갔는데 세 번 다 졌네요,다 가면 승률 50퍼 근처는 나올까요?
303,고추참치 버거 왜 이렇게 매워요?,우유 마셔요. 매운 거 진짜 못 먹는군요. 
304,프레디 피자가게 게임하고 싶은데 스팀에 한국판 있어요?,플레이하면 연락하세요. 구경 갈게요.
305,느긋한 시간 보내고 있어요?,오랜만이에요. 슈코! 
